file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_100_0.184_0.txt.out	9	0.591293	0.0	[21.0, 12.0, 10.0, 9.0]	[0.025245, 0.059072, 0.122142, 0.386054]	[66.666667, 41.666667, 30.0, 11.111111]	[278, 310, 527, 8122]
sdrdp_wireless_100_0.184_1.txt.out	9	0.280594	0.0	[16.0, 15.0, 10.0, 9.0]	[0.024011, 0.164875, 0.192245, 0.280251]	[62.5, 46.580688, 18.75, 0.0]	[261, 1117, 1252, 2048]
sdrdp_wireless_100_0.184_2.txt.out	9	1.22055	0.0	[16.0, 12.0, 11.0, 10.0, 9.0]	[0.022639, 0.069126, 0.123469, 0.187544, 1.216937]	[56.25, 41.666667, 36.363636, 30.0, 11.659036]	[188, 349, 468, 1790, 16294]
sdrdp_wireless_100_0.184_3.txt.out	5	0.17529	0.0	[11.0, 9.0, 8.0, 6.0]	[0.026423, 0.095254, 0.123421, 0.159077]	[85.454545, 60.634119, 51.171875, 31.728395]	[215, 642, 782, 948]
sdrdp_wireless_100_0.184_4.txt.out	15	0.76918	0.0	[23.0, 18.0, 16.0, 15.0]	[0.023518, 0.165967, 0.254717, 0.348075]	[52.173913, 28.070065, 17.783236, 12.302118]	[300, 1108, 2222, 3599]
sdrdp_wireless_100_0.184_5.txt.out	12	0.536548	0.0	[15.0, 14.0, 12.0]	[0.022899, 0.304674, 0.470007]	[40.0, 28.571429, 13.888889]	[307, 5838, 7149]
sdrdp_wireless_100_0.184_6.txt.out	8	1.31582	0.0	[13.0, 11.0, 9.0, 8.0]	[0.027606, 0.129446, 0.387419, 0.570255]	[66.153846, 50.27446, 33.095836, 21.888359]	[235, 731, 3923, 9364]
sdrdp_wireless_100_0.184_7.txt.out	12	2.67603	0.0	[20.0, 17.0, 15.0, 14.0, 13.0, 12.0]	[0.022125, 0.119616, 0.181575, 0.277799, 2.286778, 2.675646]	[55.0, 41.695502, 33.921569, 29.201681, 15.025333, 0.0]	[263, 712, 2044, 4435, 24515, 31104]
sdrdp_wireless_100_0.184_8.txt.out	7	1.71125	0.0	[14.0, 11.0, 8.0, 7.0]	[0.026161, 0.086486, 0.159665, 1.641874]	[72.619048, 56.170709, 38.088768, 19.78022]	[319, 625, 826, 27167]
sdrdp_wireless_100_0.184_9.txt.out	12	1.20919	0.0	[21.0, 16.0, 15.0, 14.0, 13.0, 12.0]	[0.022058, 0.10962, 0.391893, 0.473154, 0.572875, 0.80452]	[66.666667, 45.090401, 34.004956, 28.269159, 22.589738, 13.757144]	[265, 937, 1840, 3803, 5861, 11531]
sdrdp_wireless_100_0.242_0.txt.out	5	1.01222	0.0	[9.0, 6.0, 5.0]	[0.027454, 0.239572, 0.497942]	[69.444444, 46.017015, 31.466667]	[283, 1111, 6978]
sdrdp_wireless_100_0.242_1.txt.out	2	0.839088	0.0	[8.0, 6.0, 4.0, 3.0, 2.0]	[0.02979, 0.16695, 0.393948, 0.526671, 0.838686]	[97.5, 81.477398, 69.086535, 56.505848, 0.0]	[228, 683, 1103, 4310, 11993]
sdrdp_wireless_100_0.242_2.txt.out	4	0.799736	0.0	[7.0, 5.0, 4.0]	[0.03619, 0.262001, 0.412686]	[73.809524, 54.508303, 37.5]	[423, 969, 4432]
sdrdp_wireless_100_0.242_3.txt.out	4	0.680589	0.0	[8.0, 5.0, 4.0]	[0.026563, 0.18885, 0.680226]	[62.5, 29.522042, 0.0]	[199, 780, 13517]
sdrdp_wireless_100_0.242_4.txt.out	4	0.077608	0.0	[8.0, 5.0]	[0.025065, 0.048408]	[56.25, 20.0]	[201, 285]
sdrdp_wireless_100_0.242_5.txt.out	5	0.128503	0.0	[7.0, 6.0, 5.0]	[0.027186, 0.104586, 0.128222]	[38.095238, 27.777778, 0.0]	[238, 379, 987]
sdrdp_wireless_100_0.242_6.txt.out	5	0.521852	0.0	[12.0, 7.0, 6.0, 5.0]	[0.033255, 0.059829, 0.191685, 0.3431]	[78.571429, 57.142857, 44.750656, 28.571429]	[328, 395, 860, 4128]
sdrdp_wireless_100_0.242_7.txt.out	5	0.452041	0.0	[9.0, 7.0, 5.0]	[0.027113, 0.210897, 0.337665]	[69.444444, 47.318069, 25.591398]	[232, 974, 1073]
sdrdp_wireless_100_0.242_8.txt.out	5	0.498144	0.0	[8.0, 6.0, 5.0]	[0.028097, 0.133931, 0.497761]	[56.25, 27.777778, 0.0]	[233, 648, 8960]
sdrdp_wireless_100_0.242_9.txt.out	5	0.44214	0.0	[14.0, 9.0, 8.0, 6.0, 5.0]	[0.02902, 0.082036, 0.099771, 0.110078, 0.34258]	[74.489796, 59.259259, 50.0, 33.333333, 20.0]	[342, 529, 601, 642, 3877]
sdrdp_wireless_200_0.14_0.txt.out	12	563.354	0.0	[36.0, 24.0, 22.0, 17.0, 16.0, 15.0, 14.0, 13.0, 12.0]	[0.063781, 0.136425, 0.501245, 1.052492, 5.232047, 7.298245, 7.729954, 178.04094, 563.352232]	[82.398908, 71.415007, 59.099905, 44.791247, 39.357724, 34.635291, 29.710528, 15.943657, 0.0]	[730, 897, 2244, 3106, 31871, 43332, 47771, 1647265, 5184397]
sdrdp_wireless_200_0.14_1.txt.out	15	69.1825	0.0	[39.0, 26.0, 22.0, 19.0, 18.0, 17.0, 16.0, 15.0]	[0.066859, 0.212209, 0.430293, 1.442291, 1.89417, 2.527261, 25.863657, 57.591223]	[74.145299, 57.434379, 46.651345, 34.631696, 30.416758, 26.206885, 16.581561, 9.193457]	[816, 1221, 2267, 5483, 10568, 16985, 235794, 503633]
sdrdp_wireless_200_0.14_2.txt.out	11	19.8178	0.0	[27.0, 22.0, 17.0, 14.0, 13.0, 12.0, 11.0]	[0.06406, 0.344712, 0.437629, 1.080122, 4.36539, 8.665731, 19.817131]	[76.366843, 64.762189, 53.31694, 38.609197, 29.694808, 19.332856, 0.0]	[671, 1973, 2373, 4372, 28442, 66689, 189778]
sdrdp_wireless_200_0.14_3.txt.out	14	75.7168	0.0	[34.0, 23.0, 20.0, 17.0, 16.0, 15.0, 14.0]	[0.062722, 0.14597, 0.667623, 1.085178, 11.342974, 27.333578, 53.556789]	[72.158425, 53.583663, 42.672201, 32.409619, 24.489594, 17.878284, 10.771721]	[771, 977, 2107, 7570, 127561, 324888, 593472]
sdrdp_wireless_200_0.14_4.txt.out	16	50.7381	0.0	[26.0, 24.0, 21.0, 20.0, 18.0, 17.0, 16.0]	[0.05723, 0.300578, 0.429618, 1.258862, 2.138476, 2.463366, 31.744185]	[66.972122, 53.256885, 44.621546, 37.097247, 29.540313, 25.229019, 10.956302]	[580, 1740, 2186, 4501, 13243, 16680, 296703]
sdrdp_wireless_200_0.14_5.txt.out	13	10.7996	0.0	[33.0, 20.0, 19.0, 18.0, 17.0, 15.0, 14.0, 13.0]	[0.051676, 0.157541, 0.479769, 0.602244, 0.625362, 0.805649, 1.036699, 2.785444]	[71.558442, 50.245902, 45.972018, 42.624939, 39.219748, 31.113956, 25.925811, 17.48443]	[548, 851, 2040, 2296, 2346, 2385, 5885, 30562]
sdrdp_wireless_200_0.14_6.txt.out	14	22.6186	0.0	[31.0, 24.0, 22.0, 19.0, 18.0, 16.0, 15.0, 14.0]	[0.059715, 0.314615, 0.465075, 1.091381, 5.492777, 6.032335, 9.427105, 18.751475]	[70.023603, 54.755986, 49.018396, 38.717071, 33.796104, 25.455585, 17.672084, 10.02796]	[690, 1619, 2181, 3276, 27857, 33654, 81856, 225514]
sdrdp_wireless_200_0.14_7.txt.out	14	18.7003	0.0	[29.0, 21.0, 18.0, 17.0, 16.0, 15.0, 14.0]	[0.052157, 0.228574, 0.539196, 4.914967, 5.04075, 7.609889, 16.673545]	[65.788633, 46.746005, 36.631243, 30.92845, 26.346159, 18.894034, 10.12333]	[557, 1318, 2021, 40101, 42041, 85513, 250635]
sdrdp_wireless_200_0.14_8.txt.out	16	622.153	0.0	[31.0, 24.0, 23.0, 22.0, 21.0, 20.0, 19.0, 18.0, 17.0, 16.0]	[0.072052, 0.294159, 0.536068, 0.930264, 5.844539, 30.676509, 31.429515, 38.720436, 71.638953, 622.150685]	[67.613271, 48.694144, 44.623975, 41.103335, 35.06996, 29.242745, 25.496657, 21.02813, 15.226981, 0.0]	[659, 1309, 2062, 2442, 28712, 377617, 385136, 482745, 861709, 7026586]
sdrdp_wireless_200_0.14_9.txt.out	14	92.5388	0.0	[24.0, 23.0, 19.0, 18.0, 17.0, 15.0, 14.0]	[0.053779, 0.31003, 0.925366, 1.354546, 1.364782, 10.66961, 90.591854]	[58.333333, 53.354997, 38.191178, 34.490343, 30.636834, 17.563211, 7.142857]	[508, 2116, 3886, 8929, 9107, 102949, 956212]
sdrdp_wireless_200_0.184_0.txt.out	2	11.8126	0.0	[16.0, 10.0, 4.0, 3.0, 2.0]	[0.088784, 0.15971, 0.697078, 3.500304, 11.324583]	[106.25, 108.739062, 102.819661, 92.190153, 50.0]	[639, 774, 1800, 30979, 109464]
sdrdp_wireless_200_0.184_1.txt.out	5	43.9848	0.0	[16.0, 15.0, 11.0, 10.0, 8.0, 7.0, 5.0]	[0.073769, 0.589308, 1.157301, 2.023216, 2.373274, 8.385921, 39.837729]	[88.993711, 80.702002, 72.975683, 68.529907, 60.616559, 52.185804, 20.0]	[598, 1905, 2445, 13311, 15085, 53182, 480020]
sdrdp_wireless_200_0.184_2.txt.out	4	56.5524	0.0	[16.0, 13.0, 8.0, 7.0, 6.0, 5.0, 4.0]	[0.071865, 0.436165, 0.60556, 0.886294, 1.345819, 18.733955, 56.549838]	[88.194444, 79.734021, 65.680787, 60.690694, 53.689376, 34.283158, 0.0]	[593, 1819, 2227, 2293, 7658, 160891, 536194]
sdrdp_wireless_200_0.184_3.txt.out	0	238.081	0.0	[10.0, 5.0, 2.0, 1.0, 0.0]	[0.071909, 0.148646, 0.649071, 6.504731, 238.078629]	[134.141414, 164.238524, 221.899329, 302.3318, 0.0]	[565, 646, 1742, 48466, 2308999]
sdrdp_wireless_200_0.184_4.txt.out	5	28.8777	0.0	[20.0, 13.0, 12.0, 8.0, 7.0, 6.0, 5.0]	[0.083676, 0.227129, 0.429163, 0.69878, 0.717958, 10.706045, 10.853977]	[88.392857, 80.647815, 78.949005, 67.965047, 63.388626, 43.855932, 32.55914]	[714, 925, 1108, 4938, 5215, 86093, 87294]
