file	obj	time	gap	status
100_0.184_0.txt.out	9	0.591293	0.0	feasible
100_0.184_1.txt.out	9	0.280594	0.0	feasible
100_0.184_2.txt.out	9	1.22055	0.0	feasible
100_0.184_3.txt.out	5	0.17529	0.0	feasible
100_0.184_4.txt.out	15	0.76918	0.0	feasible
100_0.184_5.txt.out	12	0.536548	0.0	feasible
100_0.184_6.txt.out	8	1.31582	0.0	feasible
100_0.184_7.txt.out	12	2.67603	0.0	feasible
100_0.184_8.txt.out	7	1.71125	0.0	feasible
100_0.184_9.txt.out	12	1.20919	0.0	feasible
100_0.242_0.txt.out	5	1.01222	0.0	feasible
100_0.242_1.txt.out	2	0.839088	0.0	feasible
100_0.242_2.txt.out	4	0.799736	0.0	feasible
100_0.242_3.txt.out	4	0.680589	0.0	feasible
100_0.242_4.txt.out	4	0.077608	0.0	feasible
100_0.242_5.txt.out	5	0.128503	0.0	feasible
100_0.242_6.txt.out	5	0.521852	0.0	feasible
100_0.242_7.txt.out	5	0.452041	0.0	feasible
100_0.242_8.txt.out	5	0.498144	0.0	feasible
100_0.242_9.txt.out	5	0.44214	0.0	feasible
200_0.14_0.txt.out	12	563.354	0.0	feasible
200_0.14_1.txt.out	15	69.1825	0.0	feasible
200_0.14_2.txt.out	11	19.8178	0.0	feasible
200_0.14_3.txt.out	14	75.7168	0.0	feasible
200_0.14_4.txt.out	16	50.7381	0.0	feasible
200_0.14_5.txt.out	13	10.7996	0.0	feasible
200_0.14_6.txt.out	14	22.6186	0.0	feasible
200_0.14_7.txt.out	14	18.7003	0.0	feasible
200_0.14_8.txt.out	16	622.153	0.0	feasible
200_0.14_9.txt.out	14	92.5388	0.0	feasible
200_0.184_0.txt.out	2	11.8126	0.0	feasible
200_0.184_1.txt.out	5	43.9848	0.0	feasible
200_0.184_2.txt.out	4	56.5524	0.0	feasible
200_0.184_3.txt.out	0	238.081	0.0	feasible
200_0.184_4.txt.out	5	28.8777	0.0	feasible
200_0.184_5.txt.out	4	702.284	0.0	feasible
200_0.184_6.txt.out	3	238.923	0.0	feasible
200_0.184_7.txt.out	7	1199.74	16.186	feasible
