file	obj	time	gap	status
400_0.138_2.txt.out	3	1200.04	176.586	feasible
400_0.138_3.txt.out	7	1200.08	71.14059999999999	feasible
400_0.138_4.txt.out	12	1200.19	60.5547	feasible
400_0.138_5.txt.out	6	1196.71	101.543	feasible
400_0.138_6.txt.out	9	1200.14	68.0312	feasible
400_0.138_7.txt.out	10	1200.04	67.3891	feasible
400_0.138_8.txt.out	3	1200.12	184.368	feasible
400_0.138_9.txt.out	9	1200.04	68.148	feasible
500_0.083_0.txt.out	42	1200.06	12.739600000000001	feasible
500_0.083_1.txt.out	40	1200.07	17.3275	feasible
500_0.083_2.txt.out	43	1200.03	14.761099999999999	feasible
500_0.087_3.txt.out	40	1199.16	27.8688	feasible
500_0.087_4.txt.out	37	1200.02	26.067899999999998	feasible
500_0.087_5.txt.out	40	1200.05	25.0831	feasible
500_0.087_6.txt.out	38	1200.18	27.0142	feasible
500_0.087_7.txt.out	36	1200.2	26.742700000000003	feasible
500_0.087_8.txt.out	45	1200.02	22.977800000000002	feasible
500_0.087_9.txt.out	44	1200.1	34.9093	feasible
500_0.126_0.txt.out	16	1200.02	79.66919999999999	feasible
500_0.126_1.txt.out	9	1200.4	108.551	feasible
500_0.126_2.txt.out	13	1200.05	70.2267	feasible
500_0.126_3.txt.out	20	1200.03	76.7868	feasible
500_0.126_4.txt.out	16	1200.06	70.6508	feasible
500_0.126_5.txt.out	10	1199.31	103.954	feasible
500_0.126_6.txt.out	13	1200.04	94.4893	feasible
500_0.126_7.txt.out	12	1200.04	94.0549	feasible
500_0.126_8.txt.out	13	1199.75	94.6906	feasible
500_0.126_9.txt.out	17	1200.1	77.5936	feasible
50_0.24_0.txt.out	10	0.148972	0.0	feasible
50_0.24_1.txt.out	7	0.041304	0.0	feasible
50_0.252_2.txt.out	6	0.084208	0.0	feasible
50_0.252_3.txt.out	5	0.087442	0.0	feasible
50_0.252_4.txt.out	10	0.099955	0.0	feasible
50_0.252_5.txt.out	6	0.073785	0.0	feasible
50_0.252_6.txt.out	5	0.177447	0.0	feasible
50_0.252_7.txt.out	6	0.302206	0.0	feasible
50_0.265_8.txt.out	6	0.132395	0.0	feasible
50_0.265_9.txt.out	7	0.051666	0.0	feasible
50_0.316_0.txt.out	4	0.034541	0.0	feasible
50_0.316_1.txt.out	3	0.121357	0.0	feasible
50_0.316_2.txt.out	2	0.063708	0.0	feasible
50_0.316_3.txt.out	2	0.215536	0.0	feasible
50_0.316_4.txt.out	3	0.046583	0.0	feasible
50_0.316_5.txt.out	1	0.10025	0.0	feasible
50_0.316_6.txt.out	1	0.043218	0.0	feasible
50_0.316_7.txt.out	3	0.189792	0.0	feasible
50_0.316_8.txt.out	3	0.08923	0.0	feasible
50_0.316_9.txt.out	3	0.075825	0.0	feasible
80_0.201_0.txt.out	11	4.33129	0.0	feasible
80_0.201_1.txt.out	9	1.21366	0.0	feasible
80_0.201_2.txt.out	10	1.04956	0.0	feasible
80_0.201_3.txt.out	8	1.06694	0.0	feasible
80_0.201_4.txt.out	9	0.355364	0.0	feasible
80_0.201_5.txt.out	11	0.443062	0.0	feasible
80_0.201_6.txt.out	10	0.739839	0.0	feasible
80_0.201_7.txt.out	8	0.265369	0.0	feasible
80_0.211_8.txt.out	7	0.164857	0.0	feasible
80_0.211_9.txt.out	7	0.15354	0.0	feasible
80_0.264_0.txt.out	1	0.170885	0.0	feasible
80_0.264_1.txt.out	4	0.506403	0.0	feasible
80_0.264_2.txt.out	2	0.364447	0.0	feasible
80_0.264_3.txt.out	4	0.227819	0.0	feasible
80_0.264_4.txt.out	2	0.550764	0.0	feasible
80_0.264_5.txt.out	3	0.175672	0.0	feasible
80_0.264_6.txt.out	3	0.169148	0.0	feasible
80_0.264_7.txt.out	3	0.162202	0.0	feasible
80_0.264_8.txt.out	5	0.215976	0.0	feasible
80_0.264_9.txt.out	3	1.36895	0.0	feasible
