file	obj	time	gap	status
100_0.184_0.txt.out	9	2.68739	0.0	feasible
100_0.184_1.txt.out	9	1.31822	0.0	feasible
100_0.184_2.txt.out	9	1.71315	0.0	feasible
100_0.184_3.txt.out	5	0.149565	0.0	feasible
100_0.184_4.txt.out	15	2.29506	0.0	feasible
100_0.184_5.txt.out	12	1.90509	0.0	feasible
100_0.184_6.txt.out	8	2.13016	0.0	feasible
100_0.184_7.txt.out	12	4.59398	0.0	feasible
100_0.184_8.txt.out	7	3.06138	0.0	feasible
100_0.184_9.txt.out	12	3.74132	0.0	feasible
100_0.242_0.txt.out	5	3.13436	0.0	feasible
100_0.242_1.txt.out	2	3.0294	0.0	feasible
100_0.242_2.txt.out	4	1.94806	0.0	feasible
100_0.242_3.txt.out	4	2.51549	0.0	feasible
100_0.242_4.txt.out	4	0.1929	0.0	feasible
100_0.242_5.txt.out	5	0.691092	0.0	feasible
100_0.242_6.txt.out	5	1.26522	0.0	feasible
100_0.242_7.txt.out	5	0.748542	0.0	feasible
100_0.242_8.txt.out	5	1.59669	0.0	feasible
100_0.242_9.txt.out	5	1.99417	0.0	feasible
200_0.14_0.txt.out	12	419.84	0.0	feasible
200_0.14_1.txt.out	15	253.778	0.0	feasible
200_0.14_2.txt.out	11	65.2852	0.0	feasible
200_0.14_3.txt.out	14	534.753	0.0	feasible
200_0.14_4.txt.out	16	533.634	0.0	feasible
200_0.14_5.txt.out	13	44.0245	0.0	feasible
200_0.14_6.txt.out	14	159.787	0.0	feasible
200_0.14_7.txt.out	14	859.958	0.0	feasible
200_0.14_8.txt.out	17	1200.44	11.458	feasible
200_0.14_9.txt.out	14	92.3948	0.0	feasible
200_0.184_0.txt.out	2	97.0762	0.0	feasible
200_0.184_1.txt.out	5	898.888	0.0	feasible
200_0.184_2.txt.out	4	747.286	0.0	feasible
200_0.184_3.txt.out	0	240.875	0.0	feasible
200_0.184_4.txt.out	5	320.851	0.0	feasible
200_0.184_5.txt.out	4	732.17	0.0	feasible
200_0.184_6.txt.out	4	1137.47	61.199999999999996	feasible
200_0.184_7.txt.out	8	1146.68	35.5808	feasible
200_0.184_8.txt.out	8	1200.53	25.2909	feasible
200_0.184_9.txt.out	2	1191.36	81.2196	feasible
20_0.384_0.txt.out	3	0.008492	0.0	feasible
20_0.384_1.txt.out	3	0.01697	0.0	feasible
20_0.384_2.txt.out	5	0.012953	0.0	feasible
20_0.423_3.txt.out	3	0.014175	0.0	feasible
20_0.423_4.txt.out	4	0.014514	0.0	feasible
20_0.423_5.txt.out	4	0.009716	0.0	feasible
20_0.423_6.txt.out	2	0.008505	0.0	feasible
20_0.423_7.txt.out	4	0.014008	0.0	feasible
20_0.423_8.txt.out	3	0.013496	0.0	feasible
20_0.423_9.txt.out	2	0.011927	0.0	feasible
20_0.437_0.txt.out	2	0.019885	0.0	feasible
20_0.437_1.txt.out	3	0.006262	0.0	feasible
20_0.437_2.txt.out	1	0.011007	0.0	feasible
20_0.437_3.txt.out	1	0.02136	0.0	feasible
