file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_100_0.184_0.txt.out	9	2.68739	0.0	[20.0, 13.0, 10.0, 9.0]	[0.022123, 0.106197, 0.5416, 2.1909]	[65.0, 42.184832, 23.969659, 11.111111]	[304, 1155, 2656, 25622]
sdrdp_wireless_100_0.184_1.txt.out	9	1.31822	0.0	[18.0, 13.0, 10.0, 9.0]	[0.028354, 0.154084, 0.617351, 1.317935]	[64.506173, 38.420838, 19.494048, 0.0]	[319, 1274, 2691, 22717]
sdrdp_wireless_100_0.184_2.txt.out	9	1.71315	0.0	[24.0, 16.0, 14.0, 13.0, 12.0, 11.0, 10.0, 9.0]	[0.023249, 0.041088, 0.139463, 0.202745, 0.206565, 0.643959, 1.506378, 1.703903]	[70.833333, 56.25, 50.0, 46.153846, 41.666667, 36.363636, 23.128735, 12.951816]	[279, 363, 739, 2423, 2493, 6521, 18598, 19491]
sdrdp_wireless_100_0.184_3.txt.out	5	0.149565	0.0	[16.0, 7.0, 6.0]	[0.026239, 0.081701, 0.134136]	[83.333333, 42.857143, 30.760474]	[302, 817, 1191]
sdrdp_wireless_100_0.184_4.txt.out	15	2.29506	0.0	[23.0, 21.0, 18.0, 17.0, 16.0, 15.0]	[0.026751, 0.142262, 0.265662, 1.33039, 1.661554, 2.236666]	[52.173913, 41.429831, 31.648352, 20.535222, 14.88987, 7.605907]	[288, 931, 2621, 8965, 14485, 28118]
sdrdp_wireless_100_0.184_5.txt.out	12	1.90509	0.0	[26.0, 19.0, 14.0, 13.0, 12.0]	[0.022836, 0.063441, 0.192258, 1.731114, 1.904594]	[65.384615, 50.292398, 23.747681, 10.25641, 0.0]	[263, 425, 1467, 29164, 32267]
sdrdp_wireless_100_0.184_6.txt.out	8	2.13016	0.0	[15.0, 13.0, 12.0, 11.0, 9.0, 8.0]	[0.02405, 0.210186, 0.367507, 0.432544, 0.445953, 0.529603]	[70.666667, 53.182485, 48.278443, 43.576484, 31.037925, 22.416399]	[271, 1339, 1928, 3538, 3963, 5893]
sdrdp_wireless_100_0.184_7.txt.out	12	4.59398	0.0	[27.0, 16.0, 14.0, 13.0, 12.0]	[0.024107, 0.113588, 0.153482, 1.416762, 4.593691]	[66.666667, 39.0625, 30.357143, 19.162752, 0.0]	[305, 921, 1086, 11359, 48445]
sdrdp_wireless_100_0.184_8.txt.out	7	3.06138	0.0	[20.0, 11.0, 9.0, 8.0, 7.0]	[0.02625, 0.098063, 0.454088, 2.079449, 3.060826]	[80.277778, 55.357143, 43.097643, 25.0, 0.0]	[462, 985, 3731, 31383, 62557]
sdrdp_wireless_100_0.184_9.txt.out	12	3.74132	0.0	[19.0, 15.0, 14.0, 12.0]	[0.023302, 0.101213, 0.80609, 3.740032]	[63.157895, 38.879712, 27.069779, 0.0]	[270, 722, 3909, 39226]
