file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_200_0.14_2.txt.out	11	12.4556	0.0	[37.0, 25.0, 19.0, 15.0, 14.0, 12.0, 11.0]	[0.083875, 0.409037, 0.786287, 1.22144, 1.226999, 1.454085, 11.565939]	[82.754183, 67.371595, 55.72108, 42.844037, 38.761469, 28.555047, 11.505682]	[837, 2051, 2934, 9148, 9203, 13740, 133193]
sdrdp_wireless_200_0.14_3.txt.out	14	35.6341	0.0	[37.0, 25.0, 21.0, 18.0, 15.0, 14.0]	[0.073986, 0.287099, 0.829271, 1.326277, 1.34256, 1.674425]	[74.604793, 54.385672, 44.895774, 35.524984, 22.629981, 16.886944]	[795, 1549, 2739, 10633, 10913, 16506]
sdrdp_wireless_200_0.14_4.txt.out	16	101.816	0.0	[45.0, 35.0, 26.0, 22.0, 20.0, 19.0, 18.0, 17.0, 16.0]	[0.072646, 0.237443, 0.43627, 1.728382, 2.106874, 8.967312, 9.229032, 24.324283, 41.377089]	[81.016442, 70.020592, 54.706187, 42.501048, 36.751153, 31.419339, 27.523839, 19.735309, 12.990395]	[623, 1193, 2051, 11050, 15793, 58282, 62166, 293971, 562614]
sdrdp_wireless_200_0.14_5.txt.out	13	12.6473	0.0	[35.0, 24.0, 22.0, 18.0, 16.0, 15.0, 13.0]	[0.070161, 0.258973, 0.412646, 0.781876, 1.101617, 1.348194, 6.053666]	[74.37788, 57.786195, 53.223033, 41.958495, 33.373919, 28.778755, 16.414427]	[680, 1471, 2117, 2653, 7339, 12145, 61081]
sdrdp_wireless_200_0.14_6.txt.out	14	13.8535	0.0	[40.0, 30.0, 28.0, 23.0, 21.0, 17.0, 16.0, 15.0, 14.0]	[0.095322, 0.475715, 0.541875, 0.84579, 1.3306, 1.712606, 7.99225, 10.169157, 10.615347]	[76.768293, 62.33021, 59.367163, 49.451226, 44.547189, 31.499469, 23.25449, 17.267139, 11.123938]	[1017, 2216, 2368, 2728, 9617, 12448, 46259, 77425, 82830]
sdrdp_wireless_200_0.14_7.txt.out	14	17.0513	0.0	[33.0, 28.0, 18.0, 16.0, 15.0, 14.0]	[0.071068, 0.79486, 1.016075, 1.345175, 7.732199, 15.643184]	[69.935466, 58.638007, 35.607716, 27.263825, 18.337331, 9.339848]	[784, 2909, 4676, 9321, 50303, 143244]
sdrdp_wireless_200_0.14_8.txt.out	17	1199.99	8.32432	[44.0, 35.0, 29.0, 27.0, 22.0, 21.0, 20.0, 19.0, 18.0, 17.0]	[0.075604, 0.375648, 0.41531, 0.879443, 1.495912, 1.8533, 5.72418, 24.894415, 39.659594, 50.284347]	[77.182077, 63.229645, 55.074955, 50.745656, 39.288239, 36.397203, 31.745359, 25.075222, 20.374963, 15.427149]	[911, 2151, 2281, 2934, 10720, 16193, 31609, 295781, 523194, 628844]
sdrdp_wireless_200_0.14_9.txt.out	14	56.8087	0.0	[36.0, 31.0, 20.0, 18.0, 17.0, 16.0, 15.0, 14.0]	[0.07547, 0.398807, 0.952798, 1.35329, 1.940234, 31.763413, 32.30868, 40.833611]	[72.222222, 64.168659, 42.13639, 35.7071, 31.831038, 21.519469, 16.250044, 9.73703]	[820, 2231, 3809, 8939, 14984, 402156, 405961, 534605]
sdrdp_wireless_200_0.184_0.txt.out	2	11.7156	0.0	[24.0, 13.0, 8.0, 4.0, 3.0, 2.0]	[0.09494, 0.417274, 0.586337, 1.327218, 1.562936, 11.244243]	[104.166667, 101.774829, 101.010665, 93.784179, 91.712239, 50.0]	[603, 1256, 1666, 6258, 9752, 115787]
sdrdp_wireless_200_0.184_1.txt.out	5	111.49	0.0	[28.0, 19.0, 14.0, 11.0, 9.0, 8.0, 7.0, 6.0, 5.0]	[0.104998, 0.543705, 0.744051, 1.036232, 1.169495, 1.209842, 23.774862, 24.417512, 111.487951]	[93.710692, 84.723371, 78.841428, 72.14827, 65.958997, 61.703871, 44.284373, 34.986308, 0.0]	[763, 1873, 2033, 5799, 7745, 8211, 221001, 221115, 1132978]
