file	obj	time	gap	objs	times	gaps	iters
../output/wireless-1-1200/sdrdp_wireless_100_0.05_0.txt.out	140	0.029542	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_1.txt.out	135	0.024075	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_2.txt.out	133	0.027264	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_3.txt.out	126	0.024468	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_4.txt.out	134	0.02484	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_5.txt.out	125	0.028272	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_6.txt.out	127	0.022821	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_7.txt.out	134	0.022838	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_8.txt.out	125	0.026929	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.05_9.txt.out	120	0.03003	0.0	[]	[]	[]	[]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_0.txt.out	18	1.60181	0.0	[29.0, 23.0, 21.0, 19.0, 18.0]	[0.031356, 0.058086, 0.201723, 0.295862, 1.601247]	[51.724138, 37.608696, 23.809524, 14.68307, 0.0]	[350, 485, 1781, 3332, 9885]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_1.txt.out	26	0.702577	0.0	[40.0, 33.0, 30.0, 28.0, 27.0, 26.0]	[0.031238, 0.360767, 0.410493, 0.502305, 0.528126, 0.685204]	[47.5, 25.419537, 17.911387, 11.931646, 8.669855, 4.69411]	[361, 2189, 2293, 2828, 3356, 6690]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_2.txt.out	23	0.887985	0.0	[37.0, 24.0, 23.0]	[0.149303, 0.452317, 0.887551]	[42.298145, 7.294636, 0.0]	[1103, 2083, 11533]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_3.txt.out	14	0.645386	0.0	[27.0, 20.0, 17.0, 15.0, 14.0]	[0.032292, 0.158549, 0.226713, 0.566933, 0.644881]	[62.962963, 39.457169, 26.02378, 13.63388, 0.0]	[288, 1137, 1433, 3112, 4919]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_4.txt.out	15	0.290649	0.0	[29.0, 18.0, 16.0]	[0.031515, 0.138847, 0.265824]	[58.62069, 20.792484, 7.974138]	[267, 897, 1396]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_5.txt.out	18	4.28478	0.0	[30.0, 21.0, 20.0, 18.0]	[0.073943, 0.399694, 0.628478, 0.800545]	[52.547009, 24.064997, 20.226195, 11.33861]	[696, 2111, 4522, 8261]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_6.txt.out	17	1.55475	0.0	[42.0, 35.0, 27.0, 25.0, 22.0, 21.0, 18.0, 17.0]	[0.03453, 0.070864, 0.137895, 0.382198, 0.583251, 0.679376, 0.790859, 1.323008]	[75.0, 63.333333, 50.097665, 38.626333, 29.500388, 26.103488, 13.706721, 8.400022]	[387, 747, 962, 1989, 2480, 2517, 4622, 13856]
../output/wireless-1-1200/sdrdp_wireless_100_0.15_7.txt.out	17	3.79618	0.0	[34.0, 25.0, 19.0, 18.0, 17.0]	[0.037198, 0.145111, 0.527368, 1.390101, 3.795717]	[63.235294, 43.15483, 18.467881, 12.405882, 0.0]	[398, 957, 2285, 20709, 76276]
