file	obj	time	gap	status
../output/wireless-1-1200/sdrdp_wireless_100_0.05_0.txt.out	140	0.029542	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_1.txt.out	135	0.024075	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_2.txt.out	133	0.027264	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_3.txt.out	126	0.024468	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_4.txt.out	134	0.02484	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_5.txt.out	125	0.028272	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_6.txt.out	127	0.022821	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_7.txt.out	134	0.022838	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_8.txt.out	125	0.026929	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.05_9.txt.out	120	0.03003	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_0.txt.out	18	1.60181	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_1.txt.out	26	0.702577	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_2.txt.out	23	0.887985	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_3.txt.out	14	0.645386	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_4.txt.out	15	0.290649	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_5.txt.out	18	4.28478	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_6.txt.out	17	1.55475	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_7.txt.out	17	3.79618	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_8.txt.out	17	0.57789	0.0	feasible
../output/wireless-1-1200/sdrdp_wireless_100_0.15_9.txt.out	17	0.568713	0.0	feasible
